,phonetics_id,names,phonetics
3162,3162,bjelica,b-YEH-leet-sah
3494,3494,blackie,BLACK-ee
3495,3495,blagojevic,BLAH-goh-yeh-vihch
3496,3496,blagojevich,blah-GOY-eh-vihch
3497,3497,blah,BLAH
3498,3498,blair,BL-AIR
3499,3499,blaize,BLAYZ
3500,3500,blaskic,BLAHSH-keech
3501,3501,blejer,BLEH-hehr
3502,3502,bleou,blee-OO
3503,3503,blewitt,BLOO-iht
3504,3504,blix,BLIHKSS
3505,3505,bliznakov,blihz-NAH-kawf
3506,3506,blocher,BLAW-kehr
3507,3507,boban,BOH-bahn
3508,3508,bobetko,boh-BEHT-koh
3509,3509,boc,BAWK
3510,3510,bockarie,boh-KAH-ree
3511,3511,bodrov,buh-DRAWF
3512,3512,boehner,BAY-nehr
3513,3513,boesak,BOO-sack
3514,3514,bogdanov,bohg-DAH-nawv
3515,3515,bogdanovic,bohg-DAH-noh-vihch
3516,3516,bogollagama,boh-goh-lah-GAH-mah
3517,3517,boiko,BOY-kaw
3518,3518,boim,BOYM
3519,3519,bolanos,boh-LAHN-yohs
3520,3520,boldyrev,BAWL-deh-rehf
3521,3521,bolsonaro,Bol-zo-na-row
3522,3522,bolton,BOHL-tuhn
3523,3523,boly,boh-LEE
3524,3524,bomhoff,BOOM-hohf
3525,3525,bondar,BOHN-dahr
3526,3526,bonfoh,BOHN-foh
3527,3527,bonne,BOH-nay
3528,3528,bonner,BOH-nehr
3529,3529,bono,BOH-noh
3530,3530,bonyongwe,bawn-YAWNG-way
3531,3531,bordyuzha,boord-YOO-zhah
3532,3532,borges,BOHR-hayss
3533,3533,borisov,baw-REES-awf
3534,3534,borisov,baw-REE-sawf
3535,3535,borja,BOHR-hah
3536,3536,borodin,boh-roh-DEEN
3537,3537,borovcanin,baw-RAHV-chah-nihn
3538,3538,borowski,boh-ROHF-skee
3539,3539,borrell,bohr-REHL
3540,3540,bortnikov,BOORT-nee-kawf
3541,3541,bortone,boor-TOH-nee
3542,3542,boskovski,BAWSH-kawv-skee
3543,3543,bot,BAWT
3544,3544,botha,BOO-ah-tah
3546,3546,bouchar,boo-SHAHR
3547,3547,bouchard,boo-SHAHR(d)
3548,3548,bouez,BWAYZ
3549,3549,boukhari,boo-KAH-ree
3550,3550,boumedienne,BOO-MEH-DEE-EHN
3551,3551,bourgass,boor-GAHS
3552,3552,bourguiba,boor-GHEE-bah
3553,3553,bout,BOOT
