,phonetics_id,names,phonetics
8276,8276,ghai,G-EYE
8277,8277,ghali,GAH-lee
8278,8278,ghalioun,gahl-ee-OON
8279,8279,ghanem,GAH-nehm
8280,8280,ghani,gah-NEE
8281,8281,ghani,ahb-duhl-gah-NEE
8282,8282,ghannouchi,gah-NOO-shee
8284,8284,gharazi,gah-rah-ZEE
8285,8285,ghawshaw,GOH-shah
8286,8286,ghazian,gah-zee-AHN
8287,8287,ghimpu,GHIM-poo
8288,8288,ghneim,(guh)NEEM
8289,8289,ghonde,GOHN-dah
8290,8290,ghonim,goh-NEEM
8291,8291,ghosn,GOHN
8292,8292,ghotbzadeh,haht-bzah-DEH
8293,8293,ghufron,GOO-fruhn
8294,8294,ghul,GOOL
8295,8295,ghulomov,goo-LAW-mawf
8296,8296,gidada,gih-DAH-dah
8297,8297,giertych,GEHR-tihk
8298,8298,giffords,GIH-fords
8299,8299,gilad,ghee-LAHD
8300,8300,gilauri,ghee-lah-OO-ree
8301,8301,giligashvili,ghee-lee-gahsh-VEE-lee
8302,8302,gillard,GIH-lahrd
8303,8303,gillibrand,JIHL-ih-brand
8304,8304,gillibrand,"""JIHL-uh-brand"""
8305,8305,gillon,ghee-LOHN
8306,8306,ginwala,jihn-WAH-lah
8307,8307,giotopoulos,yoh-TOH-poh-lohs
8308,8308,gioura,ghee-OH-rah
8309,8309,gissin,ghee-SEEN
8310,8310,githongo,gih-TAWNG-oh
8311,8311,giuliani,joo-lee-AH-nee
8312,8312,giwa,GHEE-wah
8313,8313,gizenga,ghee-ZEHN-gah
8314,8314,gjinushi,geh-NOO-shee
8315,8315,glavas,GLAH-vash
8316,8316,glazyev,GLAHZ-yehf
8317,8317,glemp,GLEHMP
8318,8318,gligorov,glee-GOH-rawf
8319,8319,gnaedinger,guh-NAY-deeng-ehr
8320,8320,gnassinbe,nah-SEENG-bay
8322,8322,gnininvi,nyee-nay-VEE
8323,8323,goche,GOH-cheh
8324,8324,godana,goh-DAH-nuh
8325,8325,godoy,goh-DOY
8326,8326,godse,GAWD-say
8327,8327,goencz,GUHNTS
8328,8328,goff,GAHF
8329,8329,gogiashvili,goh-gyahsh-VEE-lee
8330,8330,gogoi,goh-goh-EE
8331,8331,golez,GOH-lehs
8332,8332,golovlyov,gaw-lahv-L-YAWF
8333,8333,gomaa,GOH-mah
8334,8334,gomes,GOH-mehsh
8336,8336,gomes,GOH-mehs
8338,8338,goncharik,gawn-CHAH-rihk
8339,8339,gongadze,GOHN-gahd-zeh
8340,8340,gongloe,GAHNG-uh-loh
8341,8341,gonsalves,gahn-SAHL-vehz
8342,8342,gonul,GOO-nool
8343,8343,gonzales,gohn-SAH-lays
8345,8345,gonze,GAHN-zee
8346,8346,gorbachev,gahr-bah-CHAHF
8347,8347,gordeyev,gawr-DAY-yehf
8348,8348,gosheh,GOH-sheh
8349,8349,goss,GAH-ss
8350,8350,gotovina,gaw-TAW-vee-nah
8351,8351,goubadia,BAH-dee-ah
8352,8352,goumba,JOOM-bah
8353,8353,gourgue,GOORG
8354,8354,gousse,GOOSS
8355,8355,gowda,GOW-dah
8356,8356,grachev,grah-CHAWF
8357,8357,granic,GRAH-nihch
8359,8359,grbac,GRR-bahch
8360,8360,greceanii,greh-CHAH-nee
8361,8361,gref,GREHF
8362,8362,grillo,GRIH-loh
8363,8363,grimsson,GRIHM-sohn
8364,8364,gritz,GR-EYE-TS
8365,8365,grizold,GREE-zohld
8366,8366,gromov,GROH-mawf
8367,8367,gromyko,graw-MEE-kaw
8368,8368,gross,GROHSS
8369,8369,grubac,GROO-bahch
8370,8370,gruban,GROO-bahn
8506,8506,gruevski,groo-EHV-skee
8507,8507,grybauskaite,GREE-bohsk-eye-teh
8508,8508,gryzlov,greez-LAWF
8509,8509,guaido,"""gwy-DOH"""
8510,8510,gubbay,goo-BAY
8511,8511,guebuza,gay-BOO-zah
8512,8512,guei,GAY-ee
8513,8513,guevara,gay-VAH-rah
8514,8514,guillaume,ghee-OHM
8515,8515,guimaraes,ghee-mahr-EYES
8516,8516,guingona,gheen-GOH-nah
8517,8517,gukasyan,goo-kahs-YAHN
8519,8519,gulalai,goo-lahl-EYE
8520,8520,guler,GOO-lahr
8521,8521,guliyev,goo-LEE-yehv
8523,8523,gulyamov,gool-YAH-mawf
8524,8524,gumelar,goo-meh-LAHR
8525,8525,gunawan,goo-NAH-wahn
8526,8526,gurgenidze,goor-geh-NEED-zeh
8527,8527,gusarov,goo-SAH-rawf
8528,8528,gusenbauer,GOO-sehn-bow-ehr
8529,8529,gusinsky,goo-SEEN-skee
8530,8530,gusmao,GOOSH-mah-oh
8531,8531,guterres,goo-TEH-rehsh
8534,8534,gutierrez,goot-YEH-rehs
8535,8535,guzman,gooss-MAHN
8537,8537,gvero,guh-VAY-roh
8538,8538,gysi,GHEE-zee
8539,8539,gyurcsany,JOOR-chahn-yeh
8540,8540,haarde,HAHRD-teh
8541,8541,haavisto,HAH-vihs-toh
8542,8542,habash,hah-BAHSH
8543,8543,habyarimana,hahb-yah-ree-MAH-nah
8544,8544,hachani,HAH-shah-nee
8545,8545,hadad,HAH-DAD
8546,8546,hadzic,HAH-jeech
8547,8547,hadzihasanovic,hah-jee-hah-SAH-noh-vihch
8548,8548,hadzipasic,hah-jih-PAH-shihch
8549,8549,hagel,HAY-gehl
8550,8550,haider,H-EYE-drr
8551,8551,haider,H-EYE-DAHR
8552,8552,haiduk,H-EYE-DOOK
8553,8553,haisinsky,H-EYE-seen-skee
8554,8554,hajdari,h-eye-DAH-ree
8555,8555,hajdukovic,h-eye-DOO-koh-vihch
8556,8556,hajnovic,H-EYE-noh-veech
8557,8557,halevy,hah-LAY-vee
8558,8558,halidi,hah-LEE-dee
8559,8559,halili,hah-LEE-lee
8560,8560,halilovic,hah-LEE-loh-vihch
8561,8561,halimi,hah-LEE-mee
8562,8562,halonen,HAH-loh-nehn
8563,8563,halutz,hah-LOOTS
8565,8565,hamdan,hahm-DAHN
8566,8566,hamdani,hahm-DAH-nee
8567,8567,hamdoon,hahm-DOON
8568,8568,hammadi,hah-MAH-dee
8569,8569,hammarskjold,HAH-mahr-shuhld
8570,8570,hammo,HAH-moh
8571,8571,hammoud,hah-MOOD
8572,8572,hammoudi,hah-MOO-dee
8573,8573,hamrouche,hahm-ROOSH
8574,8574,hamutenya,hah-moo-TAYN-yah
8575,8575,handal,HAND-ahl
8576,8576,hanegbi,hah-NEHG-bee
8577,8577,haniyeh,hah-NEE-ah
8578,8578,hannan,hah-NAN
8579,8579,hanoud,hah-NOOD
8580,8580,hanoune,hah-NOON
8581,8581,haouri,hah-WAH-ree
8582,8582,haqiqatjou,hah-kee-kah-JOO
8583,8583,haqqani,HAH-KAW-NEE
8585,8585,haque,HAHK
8586,8586,haradinaj,hah-rah-DEEN-eye
8587,8587,hardan,hahr-DAN
8588,8588,hareven,hah-RAY-vehn
8589,8589,hariri,hah-REE-ree
8591,8591,harith,HAH-reeth
8592,8592,harris,HAIR-is
8593,8593,harutiunian,hah-roo-TOO-nee-ahn
8594,8594,hasanovic,HAH-SAHN-oh-vihch
8595,8595,hasanquliyev,hah-sahn-goo-LEE-ehv
8596,8596,hashami,hah-shah-MEE
8597,8597,hashemi,hah-sheh-MEE
8599,8599,hashim,hah-SHEEM
8600,8600,hashimoto,hah-shee-MOH-toh
8601,8601,hashmi,hahsh-MEE
8602,8602,hasikos,HAH-see-kohs
8603,8603,hastert,HAS-tehrt
8604,8604,hata,HAH-tah
8605,8605,hatoyama,hah-toh-YAH-mah
8606,8606,hattam,HAT-tehm
8607,8607,haughey,HAW-hee
8608,8608,hausner,HOWS-nehr
8609,8609,havel,HAH-vehl
8610,8610,hawass,hah-WAHSS
8611,8611,haxhiu,hah-JEE-oo
8612,8612,hayat,hah-YAHT
8614,8614,haz,HAHSS
8615,8615,hazare,hah-ZAH-ray
8616,8616,hebrang,HEH-brahng
8617,8617,heinonen,HAY-noh-nihn
8618,8618,heinsbroek,H-EYE-NS-brook
8619,8619,hekmatyar,hehk-maht-YAHR
8620,8620,helene,ee-LAY-neh
8621,8621,heles,HEH-lehs
8622,8622,helgesen,HEHL-geh-sehn
8623,8623,hemayatuddin,heh-mah-YAHT-too-DEEN
8814,8814,hemeti,heh-MEH-tee
8815,8815,hendrawan,hehn-DRAH-wahn
8816,8816,herath,HAY-rat
8817,8817,hernandez,air-NAN-dehs
8818,8818,hernu,AIR-noo
8819,8819,herrera,ehr-AIR-ah
8820,8820,hershko,H-AIR-SH-koh
8821,8821,herzog,HEHRT-zawg
8822,8822,herzog,HEHRT-sawg
8823,8823,hetata,HEH-TAH-tah
8824,8824,hetman,HAYT-mahn
8825,8825,hichilema,hee-chee-LAY-mah
8826,8826,hierro,ee-EH-roh
8827,8827,hijazi,hih-JAH-zee
8828,8828,hilal,HEE-lahl
8829,8829,hiraleh,hee-RAH-leh
8830,8830,hiriart,eer-ee-AHRT
8831,8831,hirsch,HEERS-ch
8832,8832,hmimssa,huh-MIHM-sah
8833,8833,hobeika,hoh-BAY-keh
8834,8834,hodac,HOH-dahch
8835,8835,holbrooke,HOHL-brook
8836,8836,holkeri,HOHL-keh-ree
8837,8837,hollande,oh-LAHN-(deh)
8838,8838,holness,HOHL-nehss
8839,8839,holovaty,hoh-loh-VAH-tee
8840,8840,holum,HAH-luhm
8841,8841,homsi,HOHM-see
8842,8842,honasan,hoh-NAH-sehn
8843,8843,honecker,HOH-neh-kehr
8844,8844,horbatov,hohr-BAH-tawv
8845,8845,horie,hohr-ee-EH
8846,8846,horn,HOHRN
8847,8847,hortefeux,OHR-teh-fuh
8848,8848,hosoda,hoh-SOH-dah
8849,8849,hossain,hoh-SAYN
8851,8851,hosseini,HOH-SAY-NEE
8853,8853,houngbedji,ohng-bay-JEE
8854,8854,houry,HOO-ree
8855,8855,hovannisian,hoh-vah-nee-see-YAHN
8856,8856,hoxha,HOH-jah
8857,8857,hoyte,HOY-T
8858,8858,hrawi,heh-RAH-wee
8859,8859,hrawi,huh-RAH-wee
8860,8860,hrusovsky,HROO-shawv-skee
8861,8861,hryshchenko,H-RIHS-chehn-kaw
8862,8862,hrytsenko,hah-reet-SEHN-kaw
8863,8863,hsieh,SH-YEH
8864,8864,hui,HWAY
8865,8865,humala,oo-MAH-lah
8866,8866,hummes,OO-mehss
8867,8867,hunzvi,HOON-zee
8868,8868,hurtado,oor-TAH-doh
8869,8869,husar,HOO-zahr
8870,8870,husin,hoo-SIHN
8871,8871,hussain,hoo-SAY-N
8872,8872,hussein,hoo-SAYN
8879,8879,husseinov,hoo-SAY-nawf
8881,8881,huwart,oo-WAHRT
8882,8882,hyde,H-EYE-D
8883,8883,hyseni,H-YEW-say-nee
8884,8884,iacovou,ee-ah-KOH-voo
8885,8885,ibrahim,EE-brah-heem
8886,8886,ibrahim,ee-brah-HEEM
8888,8888,ibrahimi,ih-brah-HEE-mee
8889,8889,ibrahimoglu,ee-brah-heem-OH-loo
8890,8890,ibraimov,ee-brah-EYE-mawf
8891,8891,idema,ih-DEE-mah
8892,8892,ige,EE-gay
8893,8893,ighnimat,ih-(gah)-nee-MAHT
8894,8894,igic,EE-gihch
8895,8895,ignatieff,ihg-nah-tee-EFF
8896,8896,ignatiev,ihg-NAHT-yehf
8897,8897,iguaran,ee-gwah-RAN
8898,8898,ihsanoglu,ee-sahn-OH-loo
8899,8899,ikouebe,ee-koo-IH-bee
8900,8900,ikramov,ih-KRAH-mawv
8901,8901,iliescu,ee-lee-EHS-koo
8902,8902,iliya,ee-LEE-ah
8903,8903,ilkin,EEL-kihn
8904,8904,illarionov,ee-lah-ree-AH-nawf
8905,8905,ilyasov,eel-YAH-sawf
8906,8906,ilyumzhinov,ee-lyoom-ZHEE-nahf
8907,8907,imanbayev,ee-mahn-BAH-yehv
8908,8908,imeri,ee-MEH-ree
8909,8909,immelt,IH-mehlt
8910,8910,imnadze,eem-NAHD-zeh
8911,8911,imron,IHM-rahn
8912,8912,indra,IHN-drah
8913,8913,ingabire,een-GAHB-ee-ray
8914,8914,ingraham,IHN-ghruhm
8915,8915,inouye,ee-NOH-way
8916,8916,inoyatova,ih-noh-YAH-toh-vah
8917,8917,insanally,ihn-sah-NAH-lee
9140,9140,insanov,ihn-SAH-nawf
9141,9141,inyumba,ihn-YOOM-bah
9142,9142,iparraguirre,ih-pahr-rah-GIH-ray
9143,9143,iparraguirre,ih-pah-rah-GHEE-ray
9144,9144,isakov,ih-SAH-kawf
9145,9145,isamuddin,ee-sah-MOO-dihn
9146,9146,isarescu,ee-ah-REHS-koo
9147,9147,isayev,ihs-EYE-ehf
9149,9149,isberg,EES-beh-ree
9150,9150,ischinger,EYE-sihng-eh
9151,9151,ishiba,ih-SHEE-bah
9152,9152,iskandarov,ihs-kahn-DAH-rawf
9153,9153,islami,ihs-LAH-mee
9154,9154,ismail,IHS-M-EYE-LL
9155,9155,ismail,IHS-M-EYE-EHL
9156,9156,ismail,rah-ZAH-lee
9157,9157,issoufou,ee-soo-FOO
9158,9158,itoo,EE-too
9159,9159,itzik,EET-zeek
9160,9160,ivanic,ee-VAH-nihch
9161,9161,ivanishvili,ee-vahn-eesh-VEE-lee
9162,9162,ivanov,ee-VAHN-awf
9163,9163,ivanov,ee-vah-NAWF
9166,9166,ivanovic,ee-VAH-noh-vihch
9167,9167,ivashov,ee-vah-SHAWF
9168,9168,ivasiuk,ee-vahs-YOOK
9169,9169,ivkovic,EEV-koh-vihch
9170,9170,iwashita,ee-wah-SHEE-tah
9171,9171,iyer,eye-YEHR
9172,9172,izabekov,ee-ZAH-byeh-kawf
9173,9173,izetbegovic,ihz-eht-BEHG-oh-vihch
9174,9174,izgi,EEZ-ghee
9175,9175,izurieta,ee-soo-ree-A-tah
9176,9176,jaatteenmaki,YAH-teen-mah-kee
9177,9177,jaber,ZHAH-behr
9178,9178,jabr,JAH-behr
9179,9179,jacupi,YAH-koo-pee
9180,9180,jaczko,YAHTS-koh
9181,9181,jagdeo,JAHG-day-oh
9182,9182,jagland,YAHK-lahnd
9183,9183,jaguda,yah-GOO-dah
9184,9184,jahanbegloo,jah-hahn-behg-LOO
9185,9185,jahjaga,YAH-yah-gah
9186,9186,jakes,YAH-kehsh
9187,9187,jalal,jah-LAHL
9188,9188,jalandoni,hah-lahn-DOH-nee
9189,9189,jallow,JAH-loh
9190,9190,jamal,jah-MAHL
9191,9191,jammeh,JAH-meh
9192,9192,jamous,JAH-mohs
9193,9193,jan,JAHN
9194,9194,jandrokovich,yahn-DROH-koh-vihch
9195,9195,janik,YAH-neek
9196,9196,janjalani,jahn-jah-LAH-nee
9197,9197,jankovic,YAHN-koh-vitch
9198,9198,jankovic,YAHN-koh-vihch
9199,9199,janneh,jah-NEH
9200,9200,jansa,YAHN-shah
9201,9201,jaramillo,hah-rah-MEE-yoh
9202,9202,jarrar,jah-RAHR
9203,9203,jarraud,ZHAH-roh
9204,9204,jaruzelski,yah-roo-ZEHL-skee
9205,9205,jayalalitha,jah-ah-lah-LIHT-ah
9206,9206,jayewardene,j-eye-eh-WAHR-deh-nah
9207,9207,jayousi,jah-YOO-see
9208,9208,jean,ZHAH(n)
9210,9210,jebali,zheh-BEH-lee
9211,9211,jeffords,JEH-fohrds
9212,9212,jehani,jeh-HAH-nee
9213,9213,jekabsons,YAK-ohb-suhns
9214,9214,jelasic,YEHL-ah-sihch
9215,9215,jelavic,YEHL-ah-veech
9216,9216,jelic,YAY-lihch
9217,9217,jelincic,yeh-LEEN-chihch
9218,9218,jelisic,YEHL-ee-seech
9219,9219,jeremic,YEHR-eh-mihch
9220,9220,jermalavicius,yehr-mah-LAH-vihch-uhs
9221,9221,jetley,JAYT-lee
9222,9222,jetmalani,JAYT-mah-LAH-nee
9223,9223,jetou,ZHEH-too
9224,9224,jibali,jee-BAH-lee
9225,9225,jibril,jeh-BREEL
9226,9226,jihani,jih-hah-NEE
9227,9227,jimenez,hee-MIH-nehss
9228,9228,jobe,JOHB
9229,9229,jocic,YOHT-seech
9230,9230,johannis,yoh-HAH-nihs
9231,9231,johanns,JOH-hans
9232,9232,joinet,ZHWAH-NAY
9233,9233,jokic,YAH-kihch
9234,9234,jokic,YOH-kihch
9235,9235,jokonya,joh-KOHN-yah
9236,9236,jomaa,joh-MAH
9237,9237,jonathan,JAH-nah-thahn
9238,9238,jordanovski,yawr-DAW-nawf-skee
9239,9239,joseph,ZHOH-sehf
9240,9240,josipovic,yoh-SEE-poh-vihch
9241,9241,jospin,ZHOH-spa(n)
9242,9242,jovanovic,yoh-VAH-noh-vihch
9243,9243,jovanovic,yoh-VAHN-oh-vihch
9245,9245,joya,JOY-ah
9246,9246,judeh,ZHOO-deh
9247,9247,judin,joo-DEEN
9248,9248,jugnauth,JUHG-nawt
9249,9249,juhasz,YOO-hahzh
9250,9250,jumblatt,juhm-BLAHT
9251,9251,juppe,ZHOO-PAY
9252,9252,jusufi,YOO-soo-fee
9330,9330,hitto,HEE-toh
9413,9413,indyk,IHN-dihk
9468,9468,jalili,jah-lee-LEE
9485,9485,jaua,HAH-wah
10099,10099,kabila,kah-BEE-lah
10101,10101,kabir,kah-BEER
10102,10102,kabuga,kah-BOO-gah
10103,10103,kabuye,kah-BOO-yeh
10104,10104,kaczmarek,kahch-MAH-rehk
10105,10105,kaczynski,kah-CHIHN-skee
10107,10107,kadeer,kah-DEER
10108,10108,kadet,kah-DAY
10109,10109,kadirgamar,kah-deer-GAH-mahr
10110,10110,kadish,KAY-dihsh
10111,10111,kadivar,kad-ee-VAHR
10112,10112,kadkhodaei,kad-hoh-dah-EE
10113,10113,kadoumi,kah-DOO-mee
10114,10114,kadriu,KAHD-REE-OO
10115,10115,kadyrbekov,kah-dehr-B-YEH-kawv
10116,10116,kadyrov,kah-DEE-rawf
10118,10118,kaessmann,KAYSS-mahn
10119,10119,kagame,kah-GAH-meh
10120,10120,kagwe,KAHG-weh
10121,10121,kahane,keh-HAH-neh
10123,10123,kahn,KAHN
10126,10126,kajdomcaj,K-EYE-dohm-ch-eye
10127,10127,kajiyama,kah-jee-YAH-mah
10128,10128,kaklamanis,kahk-lah-MAH-nees
10129,10129,kakudji,kah-KOO-jee
10130,10130,kalam,kah-LAHM
10131,10131,kalamanov,kah-lah-MAH-nawf
10132,10132,kalejs,KAH-lays
10133,10133,kalfin,KAHL-fihn
10134,10134,kalimanzira,kah-lee-mahn-ZEE-rah
10135,10135,kalinic,KAH-lee-nihch
10136,10136,kalinic,kah-LEEN-ihch
10137,10137,kalinowski,kah-lih-NOHV-skee
10138,10138,kalla,KAH-lah
10139,10139,kallas,KAH-lahs
10140,10140,kalniete,KAHL-nee-eh-tay
10141,10141,kalosil,kah-LOH-sihl
10142,10142,kalugin,kah-LOO-ghihn
10143,10143,kalumba,kah-LOOM-bah
10144,10144,kalvitis,kahl-VEE-tihs
10145,10145,kalyuzhny,kahl-YOOZ-nee
10146,10146,kambanda,kahm-BAHN-dah
10147,10147,kamei,kah-MAY-ee
10148,10148,kamilov,kah-MEE-lawf
10149,10149,kamotho,kah-MOH-thoh
10151,10151,kanaan,keh-NAHN
10152,10152,kanadoglu,kah-NAH-doh-loo
10153,10153,kandic,KAWN-dihch
10154,10154,kanerva,kahn-AIR-eh-vah
10155,10155,kaniewski,kah-NYEHV-skee
10156,10156,kanis,KAH-nihs
10157,10157,kansteiner,CAN-st-eye-nehr
10158,10158,kant,KAHNT
10159,10159,kantar,kahn-TAHR
10160,10160,kanyarukiga,kahn-yah-roo-KEE-gah
10161,10161,kanyehkiko,kahn-yeh-KEE-koh
10162,10162,kapanadze,kah-pah-NAHD-zeh
10163,10163,kapend,kah-PEHND
10164,10164,kaplan,kah-PLAHN
10165,10165,kaplinsky,kah-PLIHN-skee
10166,10166,kapralov,kah-PRAH-lawf
10167,10167,karadjordjevic,kah-rahd-JOHR-jeh-vihch
10168,10168,karadzic,KAHR-ah-jeech
10170,10170,karaha,kah-RAH-hah
10173,10173,karamat,kah-rah-MAHT
10174,10174,karami,kah-RAH-mee
10176,10176,karapetyan,kah-rah-PEHT-yahn
10177,10177,karastolis,kah-rah-STOH-lees
10178,10178,karat,KAH-raht
10179,10179,karayilan,kah-rah-yee-LAHN
10180,10180,karboschi,k-air-baws-CHEE
10181,10181,karekin,gah-ray-GEEN
10182,10182,karelova,kahr-YEHL-oh-vah
10183,10183,karimli,kah-REEM-lee
10184,10184,karimov,kah-REE-mahf
10185,10185,karimullah,kah-ree-moo-LAH
10186,10186,karleusa,kahrl-YOO-shah
10187,10187,karmal,KAHR-mahl
10188,10188,karman,kahr-MAHN
10189,10189,karoui,kah-roo-EE
10190,10190,karrubi,KAAH-ROO-BEE
10191,10191,kartasasmita,kahr-tah-sass-MEE-tah
10192,10192,karti,KAHR-tee
10193,10193,karugarama,kah-roo-gah-RAH-mah
10194,10194,karume,kah-ROO-may
10195,10195,karunaratne,kah-roo-NAH-raht-neh
10196,10196,karzai,kahrz-EYE
10197,10197,kasavubu,kah-sah-VOO-boo
10198,10198,kaschiev,kah-SHEE-ehv
10199,10199,kashala,kah-SHAH-lah
10200,10200,kasonde,kah-SOHN-deh
10201,10201,kasparov,kahs-PAH-rawf
10202,10202,kasper,KASS-pehr
10203,10203,kassem,KAW-sehm
10204,10204,kassir,KAH-SEER
10205,10205,kassoulides,kah-soh-LEE-dihs
10206,10206,kasyanov,kahs-YAH-nawf
10207,10207,katainen,KAHT-eye-nehn
10208,10208,katatni,kah-TAHT-nee
10209,10209,katawal,kaht-WAHL
10210,10210,katsav,kaht-SAHV
10211,10211,katsonga,kaht-SAHNG-ah
10212,10212,katz,CATS
10213,10213,kaunda,kah-OON-dah
10214,10214,kavakci,kah-VAHK-juh
10215,10215,kavan,kah-VAHN
10216,10216,kavindele,kah-VEEN-day-lay
10217,10217,kawaguchi,kah-wah-GOO-chee
10218,10218,kayani,kah-AH-nee
10219,10219,kazantsev,kah-ZAHNT-sehf
10220,10220,kazemi,kah-zeh-MEE
10221,10221,kedev,KAY-dehf
10222,10222,keke,KAY-kay
10223,10223,kekkonen,KEHK-oh-nehn
10224,10224,kelekhsashvili,keh-lehk-sahsh-VEE-lee
10225,10225,kellenberger,KEH-lehn-b-air-gehr
10226,10226,kemakeza,keh-mah-KEH-zah
10227,10227,kemerhe,keh-MEH-ree
10228,10228,kenny,KEH-nee
10229,10229,kenyatta,kehn-YAH-tah
10231,10231,keobounphan,kay-oh-buhn-PAHN
10232,10232,kerekou,KEH-reh-koo
10233,10233,kerim,KEH-rihm
10234,10234,kertes,K-AIR-tehs
10235,10235,kerviel,k-air-VYEHL
10236,10236,kesbir,kehs-BEER
10237,10237,kezerashvili,keh-zeh-rahsh-VEE-lee
10238,10238,khaburzanya,kah-boor-ZAHN-yah
10239,10239,khachatrian,kah-chah-tree-YAHN
10240,10240,khachilayev,haht-chee-L-EYE-ehf
10241,10241,khadzhimba,KAHD-zihm-bah
10242,10242,khail,HAY-L
10243,10243,khair,KEHR
10244,10244,khairullayev,k-eye-rool-EYE-ehf
10245,10245,khakamada,kah-kah-MAH-dah
10246,10246,khaled,KAH-lehd
10247,10247,khalidi,KAH-lee-dee
10248,10248,khalif,hah-LEEF
10249,10249,khalil,KAH-leel
10250,10250,khalili,kah-LEE-lee
10251,10251,khalilzad,KAH-LEEL-ZAHD
10252,10252,khama,"""KAH-mah"""
10253,10253,khambiyev,khahm-BEE-yehv
10254,10254,khambiyev,kahm-BEE-ehv
10259,10259,khanal,kah-NAHL
10260,10260,khanamov,kah-NAH-mawf
10261,10261,khandohiy,kahn-DOH-hee
10262,10262,kharichev,HAH-ree-chehf
10263,10263,kharitonov,kahr-ee-TOH-nawf
10264,10264,kharrazi,kah-rah-ZEE
10265,10265,khasbulatov,kahs-boo-LAH-tawf
10266,10266,khashba,KAHZH-bah
10267,10267,khasimov,hah-SEEM-awf
10268,10268,khatami,hah-tah-MEE
10269,10269,khayrallah,k-eye-RAH-lah
10270,10270,kheir,H-AIR
10271,10271,khelil,KUH-LEEL
10272,10272,khidoyatova,h-eye-doh-yah-TOH-vah
10273,10273,khloponin,KLAW-poh-neen
10274,10274,khodorkovsky,koh-door-KAWF-skee
10275,10275,khokar,KOH-kahr
10276,10276,kholstov,kohl-STAWF
10277,10277,khomeini,hoh-may-NEE
10279,10279,khordadian,kohr-dah-dee-AHN
10280,10280,khoroshkovsky,haw-rawsh-KAHV-skee
10281,10281,khosravi,kohs-rah-VEE
10282,10282,khoza,KOH-zah
10283,10283,khristenko,kreest-YEHN-kaw
10284,10284,khrushchev,kroosh-CHAWF
10285,10285,khvostov,kvaws-TAWF
10286,10286,kibaki,kee-BAH-kee
10287,10287,kiemas,kee-MAHS
10288,10288,kiganahe,kee-gah-NAH-hay
10289,10289,kiir,KEER
10290,10290,kikwete,kihk-WEH-tay
10343,10343,kinakh,KEE-nawkh
10344,10344,kiplagat,kihp-LAH-gaht
10345,10345,kirchner,KEERCH-nehr
10346,10346,kirill,kih-REEL
10347,10347,kirin,KEE-rehn
10348,10348,kiriyenko,kee-ree-YEHN-kaw
10349,10349,kirkilas,KEER-kih-lahs
10350,10350,kiselyov,kee-sehl-YAWF
10351,10351,kishida,kih-SHEE-dah
10352,10352,kislitsyn,kihs-LEET-sihn
10353,10353,kislyak,kees-LYAHK
10354,10354,kiss,KEESH
10355,10355,kiszczak,KEESH-chahk
10356,10356,kiviniemi,kee-vee-NYEH-mee
10357,10357,kivrikoglu,kuhv-RIHK-koh-luh
10358,10358,kiyonga,chee-YOHN-gah
10359,10359,klaus,KL-OW-SS
10360,10360,klebanov,kleh-BAH-nawf
10361,10361,klestil,KLEHS-teel
10362,10362,klich,KLEE(k)
10363,10363,klickovic,KLIHK-oh-vihch
10364,10364,klitschko,klihtsh-KAW
10365,10365,kljuyev,KLOO-yehv
10366,10366,klobuchar,KLOW-bu-shar
10367,10367,klutse,KLOOT-see
10368,10368,knezevic,k-NEHZH-eh-vihch
10369,10369,knezevic,kuh-NAY-zuh-vihch
10370,10370,kobalia,koh-BAH-lee-ah
10371,10371,kocharian,koh-chahr-YAHN
10372,10372,koci,KAW-chee
10373,10373,kocsis,KOH-chihs
10374,10374,kodanyev,KOH-dahn-yehf
10375,10375,kodjo,KOH-joh
10376,10376,koehler,KRR-lehr
10377,10377,koenigs,KOO-nihgs
10378,10378,koffigoh,KOH-fee-gaw
10379,10379,kohdua,KOH-doo-ah
10380,10380,kohl,KOHL
10381,10381,kohona,koh-HOH-nah
10382,10382,kohout,KOH-hoht
10383,10383,koike,koh-EE-kay
10384,10384,koirala,koy-RAH-lah
10386,10386,koivisto,KOY-vihs-toh
10387,10387,koizumi,koh-ee-zoo-mee
10388,10388,kok,KOHK
10390,10390,kokoity,koh-KOY-tee
10391,10391,koleilat,KL-EYE-leht
10392,10392,kolingba,koh-LEENG-bah
10393,10393,kollek,KAH-lehk
10394,10394,kolmogorov,kohl-moh-GOH-rawf
10395,10395,kolo,KOO-loo
10396,10396,kolodko,koh-WAHT-koh
10397,10397,kolomiyets,koh-loh-MEE-yehts
10398,10398,kolotukhin,koh-loh-TOO-kihn
10399,10399,kolundzija,koh-LOON-jee-ah
10400,10400,komara,KOH-mah-rah
10401,10401,komorowski,koh-moh-RAHV-skee
10402,10402,komsic,KOHM-sheech
10403,10403,komura,koh-MOO-rah
10404,10404,konah,KOH-nah
10405,10405,konate,koh-NAH-tay
10407,10407,kondewa,kahn-day-WAH
10408,10408,kone,KOH-neh
10409,10409,kongolo,kohn-GOH-loh
10410,10410,kono,KOH-noh
10411,10411,konstantinovic,kohn-stahn-TIH-noh-vihch
10413,10413,kontic,KOHN-tihch
10414,10414,kony,KOHN-yee
10415,10415,kopanja,KOH-pahn-yah
10416,10416,koptev,KAWPT-yehf
10417,10417,korac,KAW-rahch
