phonetics_id,names,phonetics
210,katunayake,kuh-too-NAH-yah-kuh
211,kayhan,kay-HAWN
212,kecskemet,KEHCH-keh-MAYT
213,keraterm,KEHR-AHT-AIR-M
214,khodaidad,kohd-EYE-dahd
215,khorramabad,kaw-RAH-mah-BAHD
216,kian,KEE-ahn
217,kina,KEE-neh
218,kirov,KEE-rawf
219,kisangani,kee-sahn-GAH-nee
220,kittikachorn,kih-tee-kah-CHAWN
221,knesset,keh-NEH-seht
222,knut,(keh)-NOOT
223,kolubara,koh-LOO-bah-rah
224,komeito,koh-MAY-toh
225,kontras,kohn-TRAHS
226,kopassus,koh-PAH-soos
227,kosovo,KAW-saw-VAW
228,kozloduy,kawz-law-DOO-ee
229,krumen,KROO-MEHN
230,kurecik,koo-REH-jeek
231,kuril,K-YOO-reel
232,kursk,KOORSK
233,kyat,CHAT
234,lagos,LAY-GOS
235,lake,nee-OHS
236,lapusnik,lah-POOSH-neek
237,lavalas,LAH-vah-lahs
238,lavi,lah-VEE
239,le,leh-JOON
240,leczyca,wehn-CHIHT-seh
241,lee,EEE
242,lefortovo,leh-FAWR-teh-veh
243,leka,LAY-kah
244,lendu,layn-DOO
245,lesotho,LEH-SOO-TOO
246,letsie,LEHT-see
247,levuka,leh-VOO-kah
248,likud,lih-KOOD
249,lome,loh-MAY
250,lourdes,LOOR-days
251,lufthansa,LOOF-tahn-sah
252,luo,LOO-oh
253,lusa,LOO-zah
254,macenta,mah-SEHN-tah
255,machilipatnam,MEH-sheh-lee-PEHT-nehm
256,madhesi,mah-DAY-see
257,madurese,mah-doo-REES
258,maersk,MAY-errskk
259,maitatsine,m-eye-taht-SEE-nay
260,makhachkala,meh-KAHCH-keh-LAH
261,malaga,MAH-lah-gah
262,malaita,mah-LAY-tah
263,malakand,MAH-lah-kahnd
264,malanje,mah-LAH(n)-zhee
265,maldives,mawl-DEEVS
266,malisevo,mah-LEE-sheh-voh
267,maluku,mah-LOO-koo
268,mankulam,MUHNG-koo-luhm
269,margrethe,mahr-GREHT-eh
270,mariupol,MAH-REE-OO-PAL
271,marjah,mahr-JAH
272,massob,MAH-SAHB
273,mastoi,mahs-TOO-ee
274,matejce,mah-TAY-cheh
275,matsushita,maht-SOO-shee-teh
276,mayawati,M-EYE-ah-wah-tee
277,mbabane,ehm-bah-BAH-nay
278,mbandaka,m-bahn-DAH-kah
279,medan,may-DAHN
280,medina,meh-DEE-nah
281,medvedja,mehd-VAYJ
282,melli,meh-LEE
283,merapi,meh-RAH-pee
284,meretz,MEH-eh-rehts
285,merida,MAY-ree-duh
286,mezze,MEH-zeh
287,migron,MIHG-rahn
288,minke,MEENG-kee
289,misseriya,mihs-eh-REE-yah
290,mitrovica,MEE-troh-veet-suh
291,miyagi,mee-YAH-ghee
292,miyazaki,mee-YAH-ZAH-kee
293,mochove,MOH-KOHV-TSEH
294,moquegua,moh-KAY-gwah
295,moscow,/mosKO/
296,mossad,moh-SAHD
297,mswati,mm-SWAH-tee
298,mufti,MOOF-tee
299,muhammadiya,muh-hahm-ah-DEE-yah
300,mujahedin,moo-JAH-heh-DEEN
301,mukhabarat,mook-HAH-bah-RAHT
302,mutare,moo-TAH-ray
303,myanmar,MEE-ahn-mahr
304,naftohaz,NAHF-toh-HAHZ
305,nagoya,nah-GOY-yah
306,najibullah,nah-JEE-boo-LAH
307,nauru,nah-OO-roo
308,nayef,N-EYE-ehf
309,naypidaw,nay-pee-DAW
310,nazran,NAZ-rehn
311,ndjoundu,n-JOON-doo
312,nellore,neh-LOHR
313,nias,NEE-ehs
314,niger,NEE-ZHAIR
315,nipah,NEE-pah
316,nis,NEESH
317,nouakchott,noo-AHK-shaht
318,novartis,noh-VAHR-tihs
319,nowrouz,noh-ROOZ
320,nuer,noo-AIR
321,nusakambangan,NOO-sah-kahm-bahn-GAHN
322,oaxaca,wah-HAH-kah
323,oetz,OO-EHTZ
324,ohrid,OH-KREED
325,omagh,OH-mah
326,omarska,OH-mahrs-kah
327,omdruman,UM-DOOR-MAN
328,orahovac,oh-RAH-hoh-vahts
329,ostankino,aw-STAHN-kee-naw
330,oswiecim,awsh-F-YEHN-cheem
331,otpur,AWT-poor
332,ouadi,WAH-dee
333,pankisi,PAHN-kee-see
334,panosevac,paw-NOH-shay-vahts
335,parmalat,PAHR-mah-laht
336,pasok,pah-SAWK
337,pec,PEHCH
338,peshawar,peh-SHAH-wehr
339,petra,PEH-trah
340,petrobras,peh-troh-BRAHS
341,peugeot,POO-zhoh
342,pfizer,F-EYE-zehr
343,philippe,FEE-LEEP
344,ploce,PLOH-cheh
345,podgorica,PAWD-gawr-reet-sah
346,pokhran,POHK-rahn
347,polisario,poh-lee-SAH-ree-oh
348,popocatepetl,poh-poh-KAH-teh-PEH-tehl
349,porsche,POHR-sheh
350,potala,POH-tah-lah
351,pozarevac,poh-ZHAH-reh-vahts
352,prachanda,prah-CHAHN-deh
353,prejedor,PREE-YEH-door
354,preksha,p(ah)-REHK-shah
355,presevo,preh-SHAYV
356,pristina,PREESH-tee-nuh
357,prizren,PREEZ-rehn
358,puntland,POONT-LAND
359,pyeongchang,PEE-YAWNG-CHAHNG
360,pyongyang,PYUNG-yahng
361,qatar,KAH-trr
362,qazvin,kahz-VEEN
363,quirinale,kwee-ree-NAH-lay
364,racak,RAH-CHAHK
365,radio,shah-BEH-lay
366,rainier,RAIN-yay
367,rajkumar,RAHJ-koo-mahr
368,ramadan,rah-mah-DAHN
369,rambouillet,RAH-BOO-YAY
370,ramechap,rah-may-CHAHP
371,rania,RAH-nee-ah
372,real,ray-AHL
373,renamo,ray-NAH-moh
374,renault,REH-noh
375,robben,RAW-behn
376,rocinha,hoh-SEEN-ah
377,rosneft,rawss-NYEHFT
378,rukh,ROOH
379,rupiah,roo-PEE-uh
380,rusdihardjo,roos-dee-HAHRD-joh
381,rustaq,roo-STAHK
382,saeima,S-EYE-M
383,saida,s-eye-DAH
384,salafist,SAH-lah-fihst
385,samajwadi,sah-mahj-WAH-dee
386,samata,SAHM-tah
387,sapele,sah-PAY-lay
388,sattahip,SUHD-tuh-HIHB
389,satyam,SAHT-yahm
390,schiphol,SKIHP-hawl
391,sderot,sdehr-ROHT
392,seimas,SAY-mahs
393,sejil,say-JEEL
394,sejm,SAYM
395,seleka,seh-LEE-kah
396,sepulveda,say-POOL-veh-dah
397,sevodnya,seh-VAWD-nyah
398,shahab,shah-HAHB
399,sharia,shah-REE-eh
400,shas,SHAH-ss
401,shashank,shah-SHAHNK
402,shenzhou,SHUHN-JOH
403,sheremyetyevo,sheh-reh-MYEH-tyeh-vah
404,shibergan,SHIH-behr-GAHN
405,shiite,SHEE-eye-t
406,shinui,shih-NOO-ee
407,shinuiju,shihn-OO-ee-joo
408,shwedagon,shway-dah-GOHN
409,siachen,SYAH-chehn
410,simeulue,see-meh-LOO-eh
411,sithole,sih-TOH-lay
412,skopje,SKAW-pee-yeh
413,slupcane,SLOOP-chah-neh
414,smer,SM-AIR
415,sobhuza,SOH-boo-zeh
416,sofia,SOH-fee-ah
417,sofia,soh-FEE-ah
418,south,ah-SEHT-ee-ah
419,soyuz,soy-YOOZ
420,spandau,SH-PAHN-dow
421,srebrenica,sreh-breh-NEET-sah
422,srinagar,sree-NEH-gehr
423,stolac,stoh-LAHTS
424,storebaelt,STOHR-behlt
425,sudan,soo-DAN
426,suharto,soo-HAHR-toh
427,sukharevskaya,soo-kah-REHV-skah-yah
428,sule,SOO-lee
429,sunni,SOO-nee
430,surankote,SOO-rahn-koht
431,surkhanpha,SAH-kahm-pah
432,sutanto,soo-TAHN-toh
433,sutiyoso,soo-tee-YOH-soh
434,suvarnabhumi,soo-wah-nah-POOM
435,syafullah,S-EYE-foo-lah
436,syriza,SIH-reez-ah
437,tahrir,tahh-REER
438,tajbeg,tahj-BEHG
439,taksim,TAHK-sihm
440,taleban,tah-lee-BAHN
441,taloqan,TAHL-oh-KAHN
442,tamazight,TAH-meh-z-eye-t
443,tanjug,TAHN-YOOG
444,tanusevci,tah-NOO-shehv-tsee
445,tanzim,tahn-ZEEM
446,tarok,TAHR-ohk
447,tawadros,TAH-OH-drohss
448,tay,T-EYE
449,tearce,T-AIR-(t)say
450,telebras,tehl-ah-BRAHS
451,temelin,TEH-meh-LEEN
452,tenes,tay-NEHS
453,tetovo,TEH-taw-vaw
454,thalia,tah-LEE-ah
455,tigre,tee-GRAY
456,tous,TOO-S
457,trinamool,trih-nah-MOOL
458,trincomalee,TRIHN-koh-mah-LEE
459,tripura,TRIH-peh-reh
460,trisakti,tree-SAHK-tee
461,tuareg,TWAH-rehg
462,tuilaepa,too-ee-lah-EH-pah
463,tyrol,teh-ROHL
464,udhampur,OOD-hahm-poor
465,ulaanbaator,ooh-lahn-BAHT-ohr
466,unita,yoo-NEE-tah
467,urosevac,ooh-ROH-sheh-vahts
468,ustasha,OO-stah-shah
469,ute,YEWT
470,utoeya,OO-toy-YUH
471,uzhhorod,OOZH-RAW-ROT
472,vajiralongkorn,wah-chee-RAH-loong-kawn
473,vaksince,VAHK-seen-seh
474,valle,V-EYE-a
475,van,WAHN
476,van,FUHN-DEHR-MEHR-veh
477,varela,vah-REH-lah
478,vedeno,vyih-dyih-NOH
479,verizon,vehr-EYE-zehn
480,vidigal,vih-dee-GAHL
481,vieques,b-YAY-kayss
482,viljoen,feel-YOON
483,vishvabharati,vihsh-vehb-HAH-reh-tee
484,vltava,VEHL-tah-vah
485,vucitrn,VOO-chee-tuhrn
486,wahhabi,waah-haah-BEE
487,wangdue,WAHNG-DOO
488,waqf,WAHK-f
489,weimar,V-EYE-mahr
490,windhoek,VIHNT-HOOK
491,wresnowiro,rehs-noh-WEE-roh
492,wroclaw,VRAHT-swahf
493,xhosa,KOH-seh
494,xian,SHEE-AHN
495,xinshidai,SHEEN-shehd-EYE
496,yabloko,YAHB-loh-koh
497,yamoussoukro,yah-moo-SOO-kroh
498,yamuna,YEH-meh-nah
499,yaounde,YAH-OON-DAY
500,yasukuni,yah-SOO-koo-nee
501,yazidis,yah-ZEE-dees
502,yei,YAY
503,yeketi,yeh-keh-TEE
504,yemen,YEH-mehn
505,yonhap,YUHN-hahp
506,yoruba,YOHR-bah
507,yukos,YOO-kohs
508,zamboanga,zahm-boh-WAHN-gah
509,zapatista,sah-pah-TEES-tah
510,zarganar,ZAH-gah-nah
511,zarkasih,zahr-KAH-SEE
512,zeguinchor,ZEE-geh(n)-SHAWR
513,zemunski,ZEH-muhn-skee
514,zvezda,zvihzz-DAH
515,aarvik, AWR-vihk
516,abadilla,ah-bah-DEEL-yah
517,abal, AH-bahl
518,abante, ah-BAHN-tay
519,abascal, ah-bahss-KAHL
520,abashidze, ah-bah-SHEED-zeh
521,abaya, ahb-EYE-yah
522,abbas, ah-BAHSS
523,abbasi, ah-baw-SEE
524,abbasov, ah-BAH-sawf
525,abdallah, ahb-DAH-lah
526,abdellah, ahb-DEH-lah
527,abdelshafi, ahb-doo-SHAH-fee
528,abdessalem, ahb-deh-shee-LAHM
529,abdi, AHB-DEE
530,abdi, AHB-dee
531,abdic, AHB-dihch
532,abdin,ahb-DEEN
533,abdukarimov, ahb-doo-kah-REE-mawf
534,abdul-khaliq, AHB-dool-KAH-lihk
535,abdulghani, ahb-dehl-GAH-nee
536,abdullah,ahb-DUHL-lah
537,abdullah, ahb-DOO-lah
538,abdyldayev, ahb-dool-DAH-yehv
539,abe, AH-bay
540,abeid, ah-BAYD
541,abeygoonesekera,ah-BAY-goo-neh-SAY-keh-reh
542,abeywardebe, ah-bay-WAHR-deh-neh
543,abid, eye-UH-bihd
544,abilov, ah-BEE-lawv
545,abiola, ah-bee-OH-lah
546,abisala, ah-BIH-shah-lah
547,abiyev, ah-BEE-ehv
548,abizaid, AB-ih-zayd
549,ablyazov, ahb-LYAH-zawf
550,abramov, ah-BRAH-mawv
551,absandze, ahb-SAHND-zeh
552,abu, AH-boo
553,abubakar, ah-boo-BAH-kahr
554,abubakar, ah-boo-bah-KAHR
555,abyei,ab-YAY
556,acas, AH-chahs
557,acebes, ah-SAY-vehs
558,aces,AH-says
559,achalov, ah-CHAH-lawf
560,acyl, ah-SEEL
561,adada, AH-dah-dah
562,adak, AH-dahk
563,adalem, ah-dah-LEHM
564,adam, AH-dahm
565,adamishin, ah-dah-MEE-shihn
566,adamkus, ah-DAHM-koos
567,adamov, ah-DAHM-awf
568,adedeji, ah-DEH-deh-jee
569,adedibu, ah-DEH-dee-boo
570,adeishvili, ah-daysh-VEE-lee
571,adel, ADD-dihl
572,ademi, ah-DEH-mee
573,adenauer, AH-dehn-hour
574,adeniji, ah-DEHN-ih-jee
575,ader, AHD-air
576,adeshina, ah-DAY-shihn
577,adzic, AH-jeech
578,aelvoet, AHL-voot
579,aeroflot,air-eh-FLAWT
580,afanasyevsky, ah-fah-NAHS-yehf-skee
581,afolabi, ah-foh-LAH-bee
582,afsahi, ahf-sah-HEE
583,afshari, ahf-shah-REE
584,afzali, af-zah-LEE
585,agachi, ah-GAH-kee
586,agani, ah-GAH-nee
587,agapi, ah-GAH-pee
588,agapov, ah-GAH-pawf
589,agazade, ah-GAH-zah-deh
590,agbakoba, ahg-BAHK-oh-bah
591,agboyibo, ahg-boy-EE-boh
592,aghajari, ahg-hah-jah-REE
593,agip,AH-jihp
594,agne, EYE-N
595,agnelli, ahn-YEH-lee
596,agni,AHG-nee
597,aguerro, ah-GEH-roh
598,ahern, a-HER-N
599,ahidjo, ah-HEE-joh
600,ahmad, AH-mahd
601,ahmadi, ah-maw-DEE
602,ahmadinejad, ah-mah-dee-nee-ZHAHD
603,ahmadullah, ah-mah-doo-LAH
604,ahmed, AKH-mehd
605,ahmed, AH-mehd
606,ahmed, AH-muhd
607,ahmed, ah-MEHD
608,ahmeti, ah-MEH-tee
609,aho, AH-hoh
610,ahpaid, AH-payd
611,ahtisaari, AHK-tee-sah-ree
612,aichi,EYE-CHEE
613,aideed, eye-DEED
614,aishwarya,eye-sh-WAHR-ee-ah
615,aitmatov, EYE-T-mah-tawf
616,aizawa, eye-ZAH-wah
617,ajumogobia, ah-joo-moh-GOH-bee-ah
618,akayev, ah-KAH-yehv
619,akayeva, ahk-EYE-eh-vah
620,akdag, AHK-dah
